18	6	E	-2.2192854617465788E8	200
emissionprobs	16	1	H3K27me3	0	0.33568530995087753
emissionprobs	16	1	H3K27me3	1	0.6643146900491224
emissionprobs	16	2	H3K36me3	0	0.9963563370480124
emissionprobs	16	2	H3K36me3	1	0.0036436629519876664
emissionprobs	16	3	H3K4me1	0	0.9979269638968037
emissionprobs	16	3	H3K4me1	1	0.0020730361031962284
emissionprobs	16	4	H3K4me3	0	0.998175556811745
emissionprobs	16	4	H3K4me3	1	0.0018244431882550708
emissionprobs	16	5	H3K9me3	0	0.9725856161977351
emissionprobs	16	5	H3K9me3	1	0.02741438380226494
emissionprobs	17	0	H3K27ac	0	0.9995243530006016
emissionprobs	17	0	H3K27ac	1	4.7564699939843855E-4
emissionprobs	17	1	H3K27me3	0	0.936121585287997
emissionprobs	17	1	H3K27me3	1	0.06387841471200294
emissionprobs	17	2	H3K36me3	0	0.9997786709385078
emissionprobs	17	2	H3K36me3	1	2.2132906149210512E-4
emissionprobs	17	3	H3K4me1	0	0.9974498959777086
emissionprobs	17	3	H3K4me1	1	0.0025501040222913585
emissionprobs	17	4	H3K4me3	0	0.9995941690861756
emissionprobs	17	4	H3K4me3	1	4.0583091382433845E-4
emissionprobs	17	5	H3K9me3	0	0.9953480339613285
emissionprobs	17	5	H3K9me3	1	0.004651966038671538
emissionprobs	18	0	H3K27ac	0	0.9997519011650654
emissionprobs	18	0	H3K27ac	1	2.480988349345281E-4
emissionprobs	18	1	H3K27me3	0	0.9983299028603857
emissionprobs	18	1	H3K27me3	1	0.0016700971396143686
emissionprobs	18	2	H3K36me3	0	0.9997442770971905
emissionprobs	18	2	H3K36me3	1	2.557229028095522E-4
emissionprobs	18	3	H3K4me1	0	0.9989107773539245
emissionprobs	18	3	H3K4me1	1	0.0010892226460754851
emissionprobs	18	4	H3K4me3	0	0.9997969968818221
emissionprobs	18	4	H3K4me3	1	2.0300311817790078E-4
emissionprobs	18	5	H3K9me3	0	0.9971036871970761
emissionprobs	18	5	H3K9me3	1	0.002896312802923811
